_id,리뷰수,장소,캠핑장이름,평점
284,22,경기 파주시 문산읍 사목로108번길 63-11,느티나무그늘아래 캠핑장,3.6
285,11,충북 제천시 덕산면 월악산로 721-12,월악파인오토캠핑장,4.6
286,14,강원 홍천군 서면 한서로 1045-29,비발디캠핑파크,4.3
287,19,경기 가평군 북면 가화로 2745-70,또올래캠핑장,3.5
288,9,경남 산청군 삼장면 대포리 산 106-2,내원자동차야영장,4
289,9,강원 화천군 상서면 구운리 1174,만산동 국민여가캠핑장,4.7
290,34,경북 포항시 남구 호미곶면 구만길 64,포항글램핑앤카라반,1
291,50,인천 강화군 화도면 해안남로 2421-228,바다로글램핑,3.7
292,24,경기 가평군 조종면 운악청계로333번길 86,새연카라반리조트 가평현리1호점,3.6
293,37,인천 옹진군 영흥면 선재로 61,자바카라반,5
294,4,경기 양주시 장흥면 권율로 185,양주미술관옆캠핑장,4.2
295,38,경남 김해시 신어산길 67,가야랜드 달빛야영장,2.1
296,55,경남 산청군 시천면 지리산대로 855,지리산 대경캠핑장,4
297,10,전남 완도군 신지면 명사십리61번길 54,완도명사십리 오토캠핑장,2.6
298,28,강원 영월군 김삿갓면 김삿갓로 648,나조스트캠프캠핑장,4.7
299,23,경남 양산시 원동면 어영길 170,양산무릉도원,2
300,17,경남 함양군 안의면 용추계곡로 493,함양용추오토캠핑장,5
301,5,충남 서산시 대산읍 벌천포길 93-20,벌천포오토캠핑장,1.1
302,9,전북 남원시 산내면 덕동리 287-3,달궁힐링야영장,4.5
303,18,인천 강화군 삼산면 상리길281번길 93,석모도부자캠핑장,0
304,10,경북 청도군 운문면 신원리 2087,운문산군립공원 소머리야영장,4
305,8,충남 예산군 고덕면 상몽2길 236,아그로랜드태신목장 캠핑장,0
306,10,전북 완주군 운주면 금고당로 617,래미안밸리캠핑장,3.5
307,32,충남 공주시 사곡면 유구마곡사로 1231,장승마을카라반,3.7
308,40,충북 청주시 상당구 미원면 운암계원로 628,금관숲캠핑장,4.5
309,8,경기 하남시 검단산로146번길 80,검단산숲에캠핑장,3.5
310,12,전북 익산시 웅포면 강변로 25,웅포관광지곰개나루,0
311,11,경남 고성군 하이면 덕명5길 53-7,상족암군립공원 오토캠핑장,3
312,17,인천 강화군 내가면 강화서로227번길 91,덕산국민여가캠핑장,4.5
313,19,충남 천안시 동남구 목천읍 교촌7길 46-13,국민여가캠핑장,3.7
314,33,경기 안산시 단원구 부흥로 232-68,대부도캠핑성,3.7
315,38,인천 남동구 만의골로 155,에제르파크,2.3
316,2,경북 울진군 울진읍 불영계곡로 2758,불영계곡캠핑장,4.6
317,15,경남 의령군 궁류면 청정로5길 57,거장산오토캠핑장,5
318,15,충남 서천군 서면 춘장대로 106,춘장대오토캠핑장,5
319,13,강원 영월군 영월읍 삼옥리 80-1,동강오토캠핑장,2.6
320,14,강원 영월군 무릉도원면 무릉법흥로 1050-16,남강캠프,4.2
321,14,강원 화천군 사내면 화악산로 938-14,러브팜31,2.7
322,309,경기 가평군 북면 가화로 2932-23,명지산카라반글램핑,3.8
323,15,충북 진천군 초평면 화산리 875,초평밤나무캠핑장,3.8
324,6,충남 금산군 제원면 달고개길 113,인삼골 오토캠핑장,2.3
325,41,충남 태안군 원북면 신두해변길 201-31,신두57캠핑장,2
326,7,전남 곡성군 곡성읍 청계동로 415,청계동솔바람야영장,4.3
327,18,경남 고성군 고성읍 공룡로 3165,고성남산공원오토캠핑장,4.3
328,24,경기 화성시 비봉면 미륵골로 108-17,엘리캠핑,4.4
329,20,경남 통영시 인평동 576,통영편백숲길캠핑장,4.3
330,25,경기 이천시 모가면 사실로 984,이천테르메덴 카라반캠핑장,1
331,19,경북 상주시 화북면 상오리 573-5,문장대오토캠핑장,5
332,20,경남 산청군 차황면 황매산로1138번길 215,황매산미리내파크 오토캠핑장,4.8
333,55,강원 원주시 판부면 백운산길 67-105,캄파슬로우,5
334,4,부산 기장군 일광읍 기장해안로 1272,카라반지오클럽,3
335,14,경기 안성시 죽산면 용설호수길 55-33,안성시 다목적야영장,5
336,47,충남 서산시 팔봉면 진장서낭골길 204,삼원레저타운 캠핑장,3.3
337,50,경기 포천시 이동면 화동로 2318-68,백운계곡글램핑,3
338,35,충북 제천시 한수면 송계리 67,닷돈재4색야영장,4.5
339,40,충남 태안군 원북면 청산길 279,청산리오토캠핑장,2.6
340,7,충북 괴산군 칠성면 칠성로10길 466-3,갈론계곡캠핑장,4
341,16,경북 상주시 화북면 중벌2길 18-61,속리산사계절캠핑장,5
342,7,경남 하동군 옥종면 호계천로 224,도둑골캠핑장,5
343,6,경기 용인시 처인구 모현읍 초부로 215-7,용인미르힐,2.3
344,45,경기 포천시 이동면 성장로1289번길 204,아쿠아마린글램핑&카라반,4.2
345,9,경남 남해군 미조면 동부대로14번길 27-21,초전마을캠핑장,3
346,41,경남 밀양시 산내면 발례1길 103-8,호반캠핑장,0
347,9,경기 이천시 모가면 진상미로1385번길 221-6,인휴글램핑,5
348,22,강원 원주시 신림면 황둔리 1540-3,감악산캠핑숲,4
349,12,전북 정읍시 내장산로 800,내장산국립공원 내장야영장,0
350,4,경남 거창군 북상면 덕유월성로 1642,주은오토캠핑장,5
351,17,전남 담양군 용면 금성산성길 548,라온캠핑장 담양지점,1
352,18,충남 보령시 청소면 송덕신송길 229-42,스칸디캠프팜,3
353,16,강원 양양군 손양면 동명로 321-20,양양오토캠핑장,2.8
354,10,강원 춘천시 서면 박사로 770,춘천박사마을 어린이글램핑장,4.6
355,20,경기 양평군 옥천면 옥천체육공원길 4,양평더휴글램핑장,5
356,29,경기 용인시 처인구 원삼면 문촌리 234,용인제일오토캠핑장,2.9
357,9,전북 순창군 풍산면 향가로 575,섬진강향가오토캠핑장,2.4
358,12,경기 안성시 금광면 현곡길 344,금광관광농원 캠핑장,5
359,22,울산 동구 주전해안길 300,주전패밀리캠핑장,0
